seed,n_active,objective_J_targeted,objective_J_random,objective_J_diff
42,5,21.4007376344086,23.029959139784943,-1.6292215053763428
42,10,31.07311971326165,31.821896774193547,-0.7487770609318964
42,20,52.158306605222734,51.498607885304665,0.6596987199180688
43,5,22.413206451612904,21.682,0.7312064516129055
43,10,31.72069032258064,31.098970609319,0.6217197132616405
43,20,52.14946117084826,51.40573906810036,0.7437221027479026
44,5,21.27964301075269,23.34319856630824,-2.063555555555549
44,10,32.358238709677416,30.86363870967742,1.4945999999999948
44,20,51.427031233998974,52.23500931899642,-0.8079780849974441
45,5,22.13765806451613,24.780643010752687,-2.642984946236556
45,10,32.10424874551971,30.358543369175628,1.745705376344084
45,20,51.507990681003584,52.54034695340502,-1.0323562724014366
46,5,23.774699641577055,23.026926881720428,0.7477727598566268
46,10,34.123160573476696,30.56413405017921,3.5590265232974865
46,20,51.9430680662229,51.32073405017921,0.6223340160436877
