seed,n_active,tail_efficiency_ratio_targeted,tail_efficiency_ratio_random,tail_efficiency_ratio_diff
42,5,1.3144267822736029,1.5850716260366926,-0.2706448437630897
42,10,1.3028142013649262,2.098468928249775,-0.7956547268848486
42,20,1.4221990499362764,1.497584541062802,-0.07538549112652548
43,5,1.3195942167904784,1.5593613185681174,-0.23976710177763905
43,10,1.3990201415351118,1.4541148608644168,-0.055094719329304986
43,20,1.3995030240517603,1.4860014357501794,-0.0864984116984191
44,5,1.3148193659375766,1.401353276353276,-0.08653391041569924
44,10,1.4420410427066002,1.551673082617708,-0.10963203991110793
44,20,1.3844552394170713,1.520140105078809,-0.13568486566173776
45,5,1.3050825181652617,1.4307650806167127,-0.12568256245145104
45,10,1.2062363238512035,1.399822432672388,-0.19358610882118454
45,20,1.358204134366925,1.6280677497407536,-0.2698636153738285
46,5,1.5224126830838565,1.5776413404962908,-0.05522865741243432
46,10,1.5777414075286416,1.1269010221889804,0.4508403853396612
46,20,1.1917098445595853,1.502330584438867,-0.31062073987928174
